Name,Classification,Lat,Lng,Services Offered,Service Hours,Ratings,Menu,Price Range
NATIONAL INSTITUTE FOR SCIENCE AND MATHEMATICS EDUCATION DEVELOPMENT (NISMED) LIBRARY,Library,14.65186294,121.0676193,"Reading Area, Wi-Fi, Computers",Tue to Fri – 7:30 AM to 5:30 PM; Mon – WFH,,,
COLLEGE OF SOCIAL SCIENCES AND PHILOSOPHY LIBRARY (CSSP Library),Library,14.6494657,121.0659876,"Reading Area, Wi-Fi, Outlets, Photocopy",Mon to Sat – 8:00 AM to 5:00 PM,,,
CSSP READING ROOM,Library,14.65337206,121.0697187,"Reading Area, Wi-Fi, Outlets",Mon to Fri – 8:00 AM to 5:00 PM,,,
POPULATION INSTITUTE LIBRARY,Library,14.65338748,121.069104,"Reading Area, Wi-Fi, Outlets, Computers",Tue & Fri – 1:00 PM to 5:00 PM,,,
COLLEGE OF SOCIAL WORK AND COMMUNITY DEVELOPMENT LIBRARY (CSWCD Library),Library,14.65731702,121.0638165,"Reading Area, Computers, Outlets, Wi-Fi",Mon to Thu – 8:00 AM to 5:00 PM; Fri – WFH,,,
SCHOOL OF STATISTICS LIBRARY,Library,14.65128136,121.067336,"Reading Area, Computers, Outlets, Wi-Fi",Tue to Fri – 8:00 AM to 6:00 PM; Mon – WFH,,,
TECHNOLOGY MANAGEMENT CENTER LIBRARY (TMC Library),Library,14.64728504,121.0718823,"Reading Area, Computers, Outlets, Wi-Fi",Mon to Thu – 9:00 AM to 6:00 PM; Fri – WFH,,,
SCHOOL OF URBAN AND REGIONAL PLANNING LIBRARY (SURP Library),Library,14.65691822,121.0627394,"Reading Area, Computers, Outlets, Wi-Fi",Tue to Fri – 9:00 AM to 6:00 PM; Sat – 8:00 AM to 5:00 PM; Mon – WFH,,,
UP INTEGRATED SCHOOL LIBRARY (UPIS Library),Library,14.65269977,121.0735244,"Reading Area, Computers, Wi-Fi",Tue to Fri – 8:00 AM to 5:00 PM; Mon – WFH,,,
CENTER FOR ETHNOMUSICOLOGY LIBRARY,Library,14.65735933,121.0657631,"Reading Area, Wi-Fi, Outlets",Mon to Fri – 9:00 AM to 12:00 PM1:00 to 4:00 PM (WFH until further notice),,,
CENTER FOR INTEGRATIVE AND DEVELOPMENT STUDIES Library (CIDS Library),Library,14.65833721,121.067559,"Reading Area, Wi-Fi",Mon to Fri – 8:00 AM to 12:00 PM1:00 PM to 5:00 PM,,,
NAOMI “SHOKO” MATSUMOTO TECHNICAL THEATER LIBRARY AND ARCHIVE,Library,14.65381952,121.0716614,"Reading Area, Computers, Wi-Fi, Outlets, Photocopy",An appointment is required to gain access to the collection,,,
JORGE B. VARGAS MUSEUM AND FILIPINIANA RESEARCH CENTER LIBRARY AND ARCHIVES (Vargas Museum Library and Archives),Library,14.6533966,121.0677926,Wi-Fi,Tue to Sat – 9:00 AM to 12:00 PM; 1:00 PM to 4:30 PM,,,
INSTITUTE FOR SMALL-SCALE INDUSTRIES LIBRARY (ISSI Library),Library,14.65673628,121.0624232,"Reading Area, Wi-Fi, Outlets, Photocopy",Mon to Fri – 8:00 AM to 5:00 PM,,,
NATIONAL CENTER FOR TRANSPORTATION STUDIES LIBRARY (NCTS Library),Library,14.65714473,121.0702407,"Reading Area, Wi-Fi",Mon to Fri – 8:00 AM to 12:00 PM & 1:00 PM to 5:00 PM,,,
CENTER FOR WOMEN’S AND GENDER STUDIES LIBRARY (UP CWGS Library),Library,14.65734692,121.0650063,"Reading Area, Wi-Fi, Outlets",Mon to Fri – 8:30 AM to 12:00 PM & 1:00 PM to 5:00 PM,,,
VANGUARD LIBRARY,Library,14.65890954,121.0644221,"Reading Area, Wi-Fi, Outlets, Computers, Photocopy",Tue to Fri – 9:00 AM to 12:00 PM & 1:00 PM to 5:00 PM; Sat – 9:00 AM to 12:00 PM & 1:00 PM to 2:00 PM,,,
DEPARTMENT OF LINGUISTICS LIBRARY,Library,14.65377546,121.0706368,"Reading Area, Wi-Fi, Outlets",Mon to Thu – 9:00 AM to 12:00 PM & 1:00 to 4:00 PM; Fri – 9:00 AM to 12:00 PM,,,
SALIKSIKANG FILIPINO (Sentro ng Wikang Filipino Diliman),Library,14.6567561,121.0622298,"Reading Area, Wi-Fi, Outlets",Mon to Fri – 8:00 AM to 5:00 PM (Scheduled use),,,
UPFI FILM ARCHIVES & LIBRARY,Library,14.65673335,121.0679267,"Reading Area, Wi-Fi, Outlets",N/A,,,
CAL GONZALO GONZALEZ READING ROOM,Study/Reading Hall,14.65268039,121.0674128,"Reading Area, Computers, Outlets, Wi-Fi",Mon to Fri – 8:00 AM to 5:00 PM,,,
24/7 STUDY AREA (Melchor Hall) ,Study/Reading Hall,14.65641181,121.0695633,"Wi-Fi, Outlets, Reading Area",Mon to Thu – 8:00 AM to 5:00 PM; Closed on Fri & Sat,,,
CS STUDY NOOK,Study/Reading Hall,14.64947242,121.0693227,"Reading Area, Outlets, Computers, Photocopy, Wi-Fi",Mon to Sun – 24 hours,,,
